City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
4,East London,ZA,55.8,overcast clouds,-33.0153,27.9116,Tu Casa
6,Georgetown,MY,85.93,few clouds,5.4112,100.3354,Cititel Penang
7,Rikitea,PF,75.15,broken clouds,-23.1203,-134.9692,Pension Maro'i
9,Mataura,NZ,49.48,overcast clouds,-46.1927,168.8643,Ellie's Villa
11,Ngorongoro,TZ,49.01,overcast clouds,-3.2397,35.4875,Simba Special Campsite B
14,Tottori,JP,71.6,clear sky,35.5,134.2333,Hotel Monarque Tottori
17,Torbay,CA,49.48,broken clouds,47.6666,-52.7314,Gallows Cove
18,Naze,JP,77.92,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
21,Hirara,JP,79.07,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
28,Peru,US,63.12,clear sky,40.7537,-86.0689,Cole Porter Inn
35,Saint-Philippe,RE,69.39,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
36,Broken Hill,AU,58.71,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
43,Roura,GF,79.97,scattered clouds,4.7263,-52.3274,Amazonie Découverte SARL
46,Cabo San Lucas,MX,91.62,clear sky,22.8909,-109.9124,Tesoro Los Cabos
47,Bethel,US,49.19,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
52,Salta,AR,46.58,clear sky,-24.7859,-65.4117,Hotel Alejandro I
57,Saint-Pierre,RE,69.48,clear sky,-21.3393,55.4781,Lindsey Hôtel
58,Plettenberg Bay,ZA,55.51,overcast clouds,-34.0527,23.3716,Thanda Vista B&B
61,Port Elizabeth,ZA,59.29,clear sky,-33.918,25.5701,39 On Nile Guest House
62,Dharchula,IN,74.34,scattered clouds,29.85,80.5333,Mahara Hotel
63,Jamestown,US,55.04,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
64,Okha,RU,41.14,scattered clouds,53.5739,142.9478,Империя
72,Yatou,CN,67.82,clear sky,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
80,Coihaique,CL,40.95,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
83,Dunedin,NZ,50.81,light rain,-45.8742,170.5036,Scenic Hotel Southern Cross
84,Hermanus,ZA,56.89,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
85,Jati,PK,83.98,clear sky,24.3539,68.2671,Cafe Lala Rehan Restaurant
87,Schleswig,DE,49.91,clear sky,54.5167,9.55,Hotel Hohenzollern
88,Ribeira Grande,PT,63.79,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
91,Gornopravdinsk,RU,52.86,overcast clouds,60.05,69.9,Burovik
96,Makakilo City,US,85.75,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
97,Bulolo,PG,80.64,overcast clouds,-7.2,146.65,Pine Lodge Bulolo
109,Hearst,CA,57.45,light rain,49.6835,-83.6665,Companion
117,Norman Wells,CA,57.24,broken clouds,65.282,-126.8329,Heritage Hotel
119,Narsaq,GL,44.82,few clouds,60.9167,-46.05,Narsaq Kayak Hostel
122,Bonthe,SL,77.65,moderate rain,7.5264,-12.505,Bonthe Holiday Village
123,Chuy,UY,42.19,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
127,Saint George,US,93.67,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
130,Bredasdorp,ZA,47.52,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
131,Grindavik,IS,43.56,light rain,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
132,Hualmay,PE,64.98,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
140,Sainte-Maxime,FR,66.24,few clouds,43.3,6.6333,Hôtel Les Jardins De Sainte Maxime
141,Yataity,PY,47.01,clear sky,-26.3667,-56.0667,Cristhian Ortigoza
144,Ambon,ID,84.34,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
149,Aklavik,CA,52.52,overcast clouds,68.2191,-135.0107,Aklavik Inn
158,Bartica,GY,77.32,light rain,6.4,-58.6167,Relax Inn Hotel
163,Lerwick,GB,46.4,broken clouds,60.1545,-1.1494,The Lerwick Hotel
164,Padang,ID,77.05,overcast clouds,-0.9492,100.3543,Mercure Padang
168,Sept-Iles,CA,52.32,broken clouds,50.2001,-66.3821,Comfort Inn
171,Mayumba,GA,76.14,broken clouds,-3.432,10.6554,LIKWALE LODGE
172,Khandyga,RU,52.12,light rain,62.6667,135.6,Apel'sin
177,Nantucket,US,55.15,overcast clouds,41.2835,-70.0995,Jared Coffin House
181,Alta Floresta,BR,72.61,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
183,Afua,BR,75.47,few clouds,-0.1567,-50.3867,Hotel Dias
185,Acajutla,SV,80.89,scattered clouds,13.5928,-89.8275,asi es
189,Codrington,AU,56.35,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
