City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Qaanaaq,GL,77.484,-69.3632,29.03,93,100,4.25,overcast clouds
1,Thompson,CA,55.7435,-97.8558,57.36,47,20,9.22,few clouds
2,Busselton,AU,-33.65,115.3333,56.08,64,100,13.76,overcast clouds
3,Ushuaia,AR,-54.8,-68.3,29.86,93,90,64.45,overcast clouds
4,East London,ZA,-33.0153,27.9116,55.8,67,100,9.75,overcast clouds
5,Clyde River,CA,70.4692,-68.5914,25.03,100,90,5.75,overcast clouds
6,Georgetown,MY,5.4112,100.3354,85.93,79,20,5.75,few clouds
7,Rikitea,PF,-23.1203,-134.9692,75.15,70,64,12.01,broken clouds
8,Butaritari,KI,3.0707,172.7902,82.96,78,24,13.04,few clouds
9,Mataura,NZ,-46.1927,168.8643,49.48,98,100,4.9,overcast clouds
10,Kapaa,US,22.0752,-159.319,84.52,63,75,3.0,broken clouds
11,Ngorongoro,TZ,-3.2397,35.4875,49.01,95,99,5.57,overcast clouds
12,Cherskiy,RU,68.75,161.3,63.88,28,0,2.89,clear sky
13,Ous,RU,60.9058,61.5186,42.33,53,89,9.82,overcast clouds
14,Tottori,JP,35.5,134.2333,71.6,64,0,6.91,clear sky
15,Tilichiki,RU,60.4667,166.1,45.48,65,80,3.71,broken clouds
16,San Cristobal,VE,7.7669,-72.225,71.78,98,72,2.42,broken clouds
17,Torbay,CA,47.6666,-52.7314,49.48,78,75,12.66,broken clouds
18,Naze,JP,28.3667,129.4833,77.92,80,100,16.96,overcast clouds
19,Port Lincoln,AU,-34.7333,135.8667,59.5,36,100,16.28,light rain
20,Mukhen,RU,48.1,136.1,65.07,39,100,3.18,overcast clouds
21,Hirara,JP,24.8,125.2833,79.07,94,75,12.66,broken clouds
22,Sitrah,BH,26.1547,50.6206,90.36,53,0,3.0,clear sky
23,Sobolevo,RU,54.4299,31.8996,38.37,77,90,7.29,overcast clouds
24,Bluff,NZ,-46.6,168.3333,49.8,88,100,20.47,overcast clouds
25,Iqaluit,CA,63.7506,-68.5145,37.13,81,90,5.01,overcast clouds
26,Atuona,PF,-9.8,-139.0333,79.47,67,3,9.01,clear sky
27,Manavalakurichi,IN,8.1333,77.3,80.69,82,70,15.21,broken clouds
28,Peru,US,40.7537,-86.0689,63.12,54,1,3.6,clear sky
29,Ouadda,CF,8.0777,22.4007,73.11,62,7,3.85,clear sky
30,Punta Arenas,CL,-53.15,-70.9167,32.11,74,40,7.58,scattered clouds
31,Nicolas Bravo,MX,18.45,-88.9167,82.96,72,1,6.35,clear sky
32,Karpathos,GR,35.507,27.2132,67.17,77,5,8.21,clear sky
33,Baruun-Urt,MN,46.6806,113.2792,39.43,94,100,12.24,overcast clouds
34,Zyryanka,RU,65.75,150.85,64.81,30,23,15.48,few clouds
35,Saint-Philippe,RE,-21.3585,55.7679,69.39,82,2,6.02,clear sky
36,Broken Hill,AU,-31.95,141.4333,58.71,23,100,10.36,overcast clouds
37,Burns Lake,CA,54.2331,-125.7533,56.62,84,100,3.22,overcast clouds
38,General Roca,AR,-39.0333,-67.5833,61.2,47,100,31.81,overcast clouds
39,Ust-Nera,RU,64.5667,143.2,57.69,53,92,3.98,overcast clouds
40,Zima,RU,53.9202,102.0442,37.0,98,100,3.33,light rain
41,Krasnoselkup,RU,65.7,82.4667,42.22,89,100,8.25,light rain
42,Kruisfontein,ZA,-34.0033,24.7314,49.42,79,79,6.04,broken clouds
43,Roura,GF,4.7263,-52.3274,79.97,94,40,1.5,scattered clouds
44,Yulara,AU,-25.2406,130.9889,60.64,31,90,3.44,overcast clouds
45,Saskylakh,RU,71.9167,114.0833,44.96,66,1,5.91,clear sky
46,Cabo San Lucas,MX,22.8909,-109.9124,91.62,26,1,17.27,clear sky
47,Bethel,US,41.3712,-73.414,49.19,91,100,1.01,overcast clouds
48,Yellowknife,CA,62.456,-114.3525,52.32,57,75,5.75,broken clouds
49,Peniche,PT,39.3558,-9.3811,64.72,92,3,4.74,clear sky
50,Hobart,AU,-42.8794,147.3294,51.26,76,0,3.0,clear sky
51,Prainha,BR,-1.8,-53.48,76.01,90,98,3.38,overcast clouds
52,Salta,AR,-24.7859,-65.4117,46.58,88,0,1.01,clear sky
53,Galicea Mare,RO,44.1,23.3,54.45,80,8,6.62,clear sky
54,Jaen,ES,38.0,-3.5,64.92,46,53,5.21,broken clouds
55,Lebu,CL,-37.6167,-73.65,53.91,94,100,11.25,overcast clouds
56,Hilo,US,19.7297,-155.09,81.81,69,75,13.8,broken clouds
57,Saint-Pierre,RE,-21.3393,55.4781,69.48,53,0,6.91,clear sky
58,Plettenberg Bay,ZA,-34.0527,23.3716,55.51,62,86,6.22,overcast clouds
59,Klaksvik,FO,62.2266,-6.589,50.92,92,4,19.35,clear sky
60,Arraial Do Cabo,BR,-22.9661,-42.0278,73.74,88,100,11.61,overcast clouds
61,Port Elizabeth,ZA,-33.918,25.5701,59.29,72,0,11.5,clear sky
62,Dharchula,IN,29.85,80.5333,74.34,69,32,2.15,scattered clouds
63,Jamestown,US,42.097,-79.2353,55.04,58,1,6.91,clear sky
64,Okha,RU,53.5739,142.9478,41.14,68,41,9.86,scattered clouds
65,Castro,BR,-24.7911,-50.0119,56.71,99,100,3.22,overcast clouds
66,Albany,US,42.6001,-73.9662,48.38,94,100,3.38,light rain
67,Tiksi,RU,71.6872,128.8694,36.55,83,100,7.38,overcast clouds
68,Ventspils,LV,57.3894,21.5606,35.53,100,8,0.0,clear sky
69,Son La,VN,21.3167,103.9,85.42,59,78,3.15,broken clouds
70,Indian Head,US,38.6001,-77.1622,55.29,79,20,1.99,few clouds
71,Asau,RO,46.4333,26.4,50.92,98,100,1.52,overcast clouds
72,Yatou,CN,37.15,122.3833,67.82,73,6,10.47,clear sky
73,Port Alfred,ZA,-33.5906,26.891,55.99,69,100,13.96,overcast clouds
74,Ilulissat,GL,69.2167,-51.1,33.82,80,75,12.66,broken clouds
75,Kilingi-Nomme,EE,58.1503,24.9642,39.07,79,29,3.65,scattered clouds
76,Jieshi,CN,22.8134,115.8257,80.02,87,100,3.98,moderate rain
77,Liuli,TZ,-11.0833,34.6333,69.55,65,11,4.54,few clouds
78,Carnarvon,AU,-24.8667,113.6333,62.67,82,61,8.05,broken clouds
79,Kushmurun,KZ,52.4503,64.6311,71.08,63,3,11.39,clear sky
80,Coihaique,CL,-45.5752,-72.0662,40.95,93,0,3.44,clear sky
81,Maxixe,MZ,-23.8597,35.3472,68.18,80,41,9.13,scattered clouds
82,High Rock,BS,26.6208,-78.2833,80.62,76,73,11.63,broken clouds
83,Dunedin,NZ,-45.8742,170.5036,50.81,86,100,8.99,light rain
84,Hermanus,ZA,-34.4187,19.2345,56.89,71,100,7.83,overcast clouds
85,Jati,PK,24.3539,68.2671,83.98,76,4,20.38,clear sky
86,Kaduqli,SD,11.0167,29.7167,85.93,39,6,1.52,clear sky
87,Schleswig,DE,54.5167,9.55,49.91,96,4,1.14,clear sky
88,Ribeira Grande,PT,38.5167,-28.7,63.79,82,100,6.78,overcast clouds
89,Eureka,US,40.8021,-124.1637,65.91,71,87,1.99,overcast clouds
90,Anadyr,RU,64.75,177.4833,57.7,41,0,7.34,clear sky
91,Gornopravdinsk,RU,60.05,69.9,52.86,85,100,10.16,overcast clouds
92,Upernavik,GL,72.7868,-56.1549,30.83,95,100,3.62,overcast clouds
93,Sistranda,NO,63.7256,8.834,45.9,90,100,8.52,overcast clouds
94,Visnes,NO,59.3556,5.2242,51.57,93,90,9.22,overcast clouds
95,Karlshamn,SE,56.1706,14.8619,45.91,87,1,5.28,clear sky
96,Makakilo City,US,21.3469,-158.0858,85.75,58,75,8.05,broken clouds
97,Bulolo,PG,-7.2,146.65,80.64,67,100,3.36,overcast clouds
98,Rio Gallegos,AR,-51.6226,-69.2181,33.85,75,0,9.22,clear sky
99,Vaini,TO,-21.2,-175.2,73.56,88,75,2.3,broken clouds
100,Sadovoye,RU,47.7764,44.5089,63.12,91,99,15.01,light rain
101,Hauterive,FR,46.0901,3.4459,50.76,92,24,1.95,few clouds
102,Severo-Kurilsk,RU,50.6789,156.125,39.06,97,100,23.4,moderate rain
103,Nikolskoye,RU,59.7035,30.7861,37.29,69,87,2.84,overcast clouds
104,Fort Nelson,CA,58.8053,-122.7002,67.59,28,75,2.3,broken clouds
105,Cape Town,ZA,-33.9258,18.4232,57.11,90,75,1.01,light rain
106,Hibbing,US,47.4272,-92.9377,54.75,96,54,2.93,broken clouds
107,Rundu,NA,-17.9333,19.7667,52.11,33,95,4.18,overcast clouds
108,Mocorito,MX,25.4833,-107.9167,85.26,44,8,4.21,clear sky
109,Hearst,CA,49.6835,-83.6665,57.45,53,100,10.89,light rain
110,Kokopo,PG,-4.352,152.2633,82.92,78,90,8.88,moderate rain
111,West Fargo,US,46.875,-96.9004,75.25,25,75,13.8,broken clouds
112,Gombe,NG,10.2897,11.1673,82.27,60,96,11.74,overcast clouds
113,Tougan,BF,13.0667,-3.0667,90.37,36,84,10.78,broken clouds
114,Sorsk,RU,54.0033,90.2467,51.73,69,41,2.93,scattered clouds
115,Blagoyevo,RU,63.3667,47.9167,38.1,66,17,5.68,few clouds
116,Taoudenni,ML,22.6783,-3.9836,100.15,12,100,9.57,overcast clouds
117,Norman Wells,CA,65.282,-126.8329,57.24,51,75,13.8,broken clouds
118,Luderitz,NA,-26.6481,15.1594,56.23,65,0,15.19,clear sky
119,Narsaq,GL,60.9167,-46.05,44.82,69,11,2.48,few clouds
120,Vardo,NO,70.3705,31.1107,42.96,89,100,16.84,overcast clouds
121,Fairbanks,US,64.8378,-147.7164,68.0,36,40,6.91,scattered clouds
122,Bonthe,SL,7.5264,-12.505,77.65,88,100,7.29,moderate rain
123,Chuy,UY,-33.6971,-53.4616,42.19,75,3,5.82,clear sky
124,Lethem,GY,3.3803,-59.7968,74.84,89,100,4.81,overcast clouds
125,Najran,SA,17.4924,44.1277,75.85,17,0,3.74,clear sky
126,Salcedo,PH,12.8105,121.4674,88.23,66,9,5.5,clear sky
127,Saint George,US,37.1041,-113.5841,93.67,11,1,7.0,clear sky
128,Staryy Nadym,RU,65.6118,72.6842,39.13,59,100,14.99,overcast clouds
129,Tigbao,PH,12.5546,123.3389,86.09,68,30,2.01,scattered clouds
130,Bredasdorp,ZA,-34.5322,20.0403,47.52,93,100,4.07,overcast clouds
131,Grindavik,IS,63.8424,-22.4338,43.56,93,75,20.6,light rain
132,Hualmay,PE,-11.0964,-77.6139,64.98,89,92,10.09,overcast clouds
133,Fethiye,TR,36.6217,29.1164,64.27,80,85,3.65,overcast clouds
134,Avarua,CK,-21.2078,-159.775,77.05,61,75,4.61,broken clouds
135,Omsukchan,RU,62.5333,155.8,45.63,51,96,8.3,overcast clouds
136,Longyearbyen,SJ,78.2186,15.6401,33.64,80,90,4.61,overcast clouds
137,Kodiak,US,57.79,-152.4072,49.51,76,90,11.5,overcast clouds
138,Khatanga,RU,71.9667,102.5,50.52,72,100,7.99,overcast clouds
139,Tarakan,ID,3.3,117.6333,76.5,100,90,2.3,heavy intensity rain
140,Sainte-Maxime,FR,43.3,6.6333,66.24,81,22,3.2,few clouds
141,Yataity,PY,-26.3667,-56.0667,47.01,52,0,3.31,clear sky
142,Bathsheba,BB,13.2167,-59.5167,81.21,65,40,18.12,scattered clouds
143,Arkadelphia,US,34.1209,-93.0538,68.97,77,67,0.0,broken clouds
144,Ambon,ID,-3.6954,128.1814,84.34,70,20,11.45,few clouds
145,Hithadhoo,MV,-0.6,73.0833,83.79,70,8,18.21,clear sky
146,Viedma,AR,-40.8135,-62.9967,57.6,54,100,26.82,overcast clouds
147,Watsa,CD,3.0372,29.5355,63.48,83,56,2.44,broken clouds
148,Puerto Ayora,EC,-0.7393,-90.3518,73.54,87,3,8.01,clear sky
149,Aklavik,CA,68.2191,-135.0107,52.52,47,100,6.69,overcast clouds
