City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,2021-05-27 02:27:38,-54.8,-68.3,29.86,86,75,18.41
1,Lucea,JM,2021-05-27 02:29:54,18.451,-78.1736,80.46,83,65,12.71
2,Mehamn,NO,2021-05-27 02:29:55,71.0357,27.8492,39.54,73,86,12.64
3,Puerto Del Rosario,ES,2021-05-27 02:26:04,28.5004,-13.8627,64.15,68,21,9.22
4,Hermanus,ZA,2021-05-27 02:27:52,-34.4187,19.2345,55.9,73,100,5.06
5,Rikitea,PF,2021-05-27 02:29:55,-23.1203,-134.9692,74.7,70,91,17.31
6,Betsiamites,CA,2021-05-27 02:29:55,48.9413,-68.646,57.6,87,100,13.67
7,Nikolskoye,RU,2021-05-27 02:29:56,59.7035,30.7861,47.79,98,91,4.7
8,Saint-Philippe,RE,2021-05-27 02:29:56,-21.3585,55.7679,69.39,83,19,2.21
9,Hithadhoo,MV,2021-05-27 02:28:05,-0.6,73.0833,84.09,68,76,19.62
10,Novoorsk,RU,2021-05-27 02:29:57,51.381,58.9813,59.65,51,60,12.84
11,Sao Felix Do Xingu,BR,2021-05-27 02:29:57,-6.6447,-51.995,70.56,89,5,1.92
12,Mataura,NZ,2021-05-27 02:27:43,-46.1927,168.8643,49.48,65,100,2.48
13,Butaritari,KI,2021-05-27 02:27:38,3.0707,172.7902,83.66,79,85,19.24
14,Huarmey,PE,2021-05-27 02:29:58,-10.0681,-78.1522,67.51,89,61,4.61
15,Dikson,RU,2021-05-27 02:28:17,73.5069,80.5464,29.77,95,100,12.39
16,Yatou,CN,2021-05-27 02:29:58,37.15,122.3833,69.21,50,0,12.01
17,Castro,BR,2021-05-27 02:29:59,-24.7911,-50.0119,57.85,61,100,3.56
18,Ostrovnoy,RU,2021-05-27 02:29:31,68.0531,39.5131,37.24,68,27,7.87
19,Cape Town,ZA,2021-05-27 02:27:48,-33.9258,18.4232,56.12,89,0,5.39
20,Busselton,AU,2021-05-27 02:28:40,-33.65,115.3333,61.05,63,100,17.05
21,Geraldton,AU,2021-05-27 02:29:59,-28.7667,114.6,70.12,32,97,12.73
22,Upernavik,GL,2021-05-27 02:30:00,72.7868,-56.1549,31.3,93,100,10.0
23,Bowen,AU,2021-05-27 02:30:00,-20.0167,148.2333,80.82,54,7,9.78
24,Ahipara,NZ,2021-05-27 02:30:00,-35.1667,173.1667,60.1,53,75,5.68
25,Sao Joao Da Barra,BR,2021-05-27 02:30:01,-21.6403,-41.0511,73.0,86,87,8.77
26,Albany,US,2021-05-27 02:28:21,42.6001,-73.9662,69.03,88,88,3.0
27,The Pas,CA,2021-05-27 02:30:01,53.8251,-101.2541,46.42,36,1,6.08
28,Saint George,US,2021-05-27 02:28:35,37.1041,-113.5841,87.64,9,1,1.01
29,Aklavik,CA,2021-05-27 02:29:48,68.2191,-135.0107,34.52,56,100,10.11
30,Ponta Do Sol,PT,2021-05-27 02:29:04,32.6667,-17.1,65.71,75,100,4.59
31,Bluff,NZ,2021-05-27 02:28:47,-46.6,168.3333,49.8,69,100,13.44
32,Punta Arenas,CL,2021-05-27 02:27:51,-53.15,-70.9167,32.11,74,20,11.77
33,Basoko,CD,2021-05-27 02:30:02,1.2391,23.616,71.71,80,99,2.68
34,Lagoa,PT,2021-05-27 02:30:03,39.05,-27.9833,58.84,66,100,14.76
35,Khatanga,RU,2021-05-27 02:28:08,71.9667,102.5,27.1,87,64,10.58
36,Hilo,US,2021-05-27 02:29:51,19.7297,-155.09,81.28,78,90,13.8
37,Arkhara,RU,2021-05-27 02:30:04,49.4212,130.0842,60.87,53,25,10.0
38,Axim,GH,2021-05-27 02:30:04,4.8699,-2.2405,79.39,87,75,6.35
39,Douentza,ML,2021-05-27 02:30:04,14.9951,-2.9517,89.26,35,99,8.79
40,Provideniya,RU,2021-05-27 02:30:05,64.3833,-173.3,46.51,49,0,20.13
41,Atuona,PF,2021-05-27 02:28:28,-9.8,-139.0333,79.63,75,76,13.78
42,Kahului,US,2021-05-27 02:28:26,20.8947,-156.47,84.22,72,20,21.85
43,Mahebourg,MU,2021-05-27 02:29:03,-20.4081,57.7,71.89,94,75,2.3
44,Lorengau,PG,2021-05-27 02:27:59,-2.0226,147.2712,78.69,91,99,13.94
45,Itarema,BR,2021-05-27 02:30:06,-2.9248,-39.9167,78.35,83,35,12.66
46,Kuala Terengganu,MY,2021-05-27 02:30:06,5.3302,103.1408,82.35,89,20,2.3
47,Tefe,BR,2021-05-27 02:30:06,-3.3542,-64.7114,73.63,97,44,2.3
48,Opuwo,NA,2021-05-27 02:30:07,-18.0607,13.84,57.65,41,0,7.87
49,Marathon,US,2021-05-27 02:30:07,44.9,-89.7668,56.08,69,1,8.88
50,Maragogi,BR,2021-05-27 02:27:27,-9.0122,-35.2225,77.13,76,53,10.71
51,Souillac,MU,2021-05-27 02:30:08,-20.5167,57.5167,71.98,94,75,3.87
